ID;Nom usuel
56260005;Vannes Pargo
57019001;Malancourt
57039001;Metz-frescaty
57155002;Courcelles-chaussy
57168001;Phalsbourg_sapc
57251001;M.n.l.
57489001;Mouterhouse
57678001;Tressange
57732001;Volmunster
58006001;Anlezy
58059004;La Charite Res
58062001;Chateau Chinon
58064001;Chateauneuf Val
58080001;La Collancelle
58086001;Cours Les Cosne
58092001;Crux La Ville
58095001;Decize
58118001;Fours
58131001;Guerigny
58140001;Larochemillay
58145002;Lormes_sapc
58160001;Nevers-marzy
58177001;Montigny En Morvan_sapc
58204001;Ourouer
58218006;Premery
58303001;Varennes-ville
59129001;Cappelle-en-pev
59178001;Douai
59183001;Dunkerque
59343001;Lille-lesquin
59392001;Maubeuge
59456001;Pecquencourt
59512001;Roubaix
59606004;Valenciennes
59647001;Watten
60008001;Airion
60276001;Godenvillers
60322001;Jamericourt
60382001;Margny-les-compiegne
60500003;Le-plessis-belleville
60537001;Ribecourt
60555002;Rouvroy-les-merles
60566001;Saint-arnoult
60612001;Senlis
60623001;Songeons
60639001;Beauvais-tille
60650001;Trumilly
61001001;Alencon
61006005;Argentan
61007001;Athis-de-l'orne
61034001;Beaulieu
61063001;Briouze
61086001;Champeaux -Les-
61133001;Courtomer
61136001;Couvains
61150003;Echauffour
61179001;Fresnaye-au-sauvage_sapc
61214002;L Aigle
61230001;Longny-au-perche
61293003;Mortagne - Parc
61328001;Pin Au Haras-inra
61337004;Preaux-du-perche
61349001;Ri
61369001;St Bomer-les-forges
61377001;St Cornier-des-landes
61387001;St-fraimbault
61426001;Belleme_sapc
61454001;Ste Scolasse-sur-sarthe
61464001;Sees
61483002;Bagnoles-de-l_orne
61485002;Ticheville_sapc
62160001;Boulogne-sem
62268003;Desvres
62298001;Cambrai-epinoy
62333001;Fiefs
62506001;Licques
62548002;Calais-marck
62685001;Radinghem
62706001;Richebourg
62784001;Saulty
62826001;Le-touquet
62873001;Arras
63003004;Ambert
63038001;Besse-et-st-ana
63038002;Superbesse
63066002;Celles-sur-duro
63089001;Chappes
63098001;Chastreix
63113001;Clermont-fd
63132002;Cunlhat
63157001;Fayet-le-chatea
63163001;Gelles
63178001;Issoire
63189005;Laqueuille-inra
